team_id,team_name,mlb,nba,nfl,nhl,west,southwest,midwest,northeast,southeast,win_percentage,championships_won,total_retail_sales_per_capita,population,average_household_income,median_age,average_household_size,new_stadium,stadium_coast_millions,white_population_percentage,male_percentage_population
laa,Anaheim Angels,1,0,0,0,1,0,0,0,0,0.486,0,12140,"346,825",81806,34.8,3.32,0,0,0.232,0.495
az,Arizona Diamondbacks,1,0,0,0,0,1,0,0,0,0.466,0,16565,1608190,64927,33.9,2.71,0,0,0.23,0.498
atl,Atlanta Braves,1,0,0,0,0,0,0,0,1,0.528,1,15070,498722,69164,33.2,2.06,1,765,0.391,0.496
bal,Baltimore Orioles,1,0,0,0,0,0,0,0,1,0.463,0,11746,585693,54124,35.5,2.32,0,0,0.273,0.495
bos,Boston Red Sox,1,0,0,0,0,0,0,1,0,0.526,1,17552,675632,81744,32.4,2.3,0,0,0.44,0.481
chc,Chicago Cubs,1,0,0,0,0,0,1,0,0,0.531,1,8601,2746352,65781,34.8,2.41,0,0,0.361,0.485
cws,Chicago White Sox,1,0,0,0,0,0,1,0,0,0.46,0,8601,2746352,65781,34.8,2.41,0,0,0.361,0.485
cin,Cincinnati Reds,1,0,0,0,0,0,1,0,0,0.445,0,12945,309561,45235,32.4,2.11,0,0,0.506,0.495
cle,Cleveland Guardians,1,0,0,0,0,0,1,0,0,0.547,0,6453,372632,33678,36.3,2.15,0,0,0.34,0.495
col,Colorado Rockies,1,0,0,0,1,0,0,0,0,0.451,0,13078,715538,78177,34.6,2.21,0,0,0.54,0.501
det,Detroit Tigers,1,0,0,0,0,0,1,0,0,0.442,0,5281,639115,34762,34.6,2.53,0,0,0.129,0.471
hou,Houston Astros,1,0,0,0,0,1,0,0,0,0.574,2,22952,2301572,56019,33.3,2.57,0,0,0.468,0.496
kc,Kansas City Royals,1,0,0,0,0,0,1,0,0,0.45,1,18679,507971,60042,35.4,2.31,0,0,0.597,0.483
lad,Los Angeles Dodgers,1,0,0,0,1,0,0,0,0,0.618,1,12771,3898767,69778,35.9,2.75,0,0,0.289,0.498
mia,Miami Marlins,1,0,0,0,0,0,0,0,1,0.445,0,22444,442260,47860,40.1,2.38,0,0,0.5566,0.504
mil,Milwaukee Brewers,1,0,0,0,0,0,1,0,0,0.524,0,,577225,45318,31.4,2.45,0,0,0.399,0.485
min,Minnesota Twins,1,0,0,0,0,0,1,0,0,0.494,0,13550,429985,70099,32.3,2.24,0,0,0.601,0.507
nym,New York Mets,1,0,0,0,0,0,0,1,0,0.506,0,13785,8804194,70663,36.9,2.63,0,0,0.341,0.47
nyy,New York Yankees,1,0,0,0,0,0,0,1,0,0.563,0,13785,8804194,70663,36.9,2.63,0,0,0.341,0.47
oak,Oakland Athletics,1,0,0,0,1,0,0,0,0,0.478,0,9016,440660,85628,36.6,2.58,0,0,0.286,0.486
phi,Philadelphia Phillies,1,0,0,0,0,0,0,1,0,0.475,0,9466,1603799,52649,34.6,2.4,0,0,0.338,0.464
pit,Pittsburgh Pirates,1,0,0,0,0,0,0,1,0,0.467,0,16963,302958,54306,33.4,2.04,0,0,0.654,0.489
sd,San Diego Padres,1,0,0,0,1,0,0,0,0,0.47,0,14704,1386960,89457,35.2,2.64,0,0,0.582,0.504
sf,San Francisco Giants,1,0,0,0,1,0,0,0,0,0.507,1,22066,873959,126187,38.3,2.34,0,0,0.508,0.507
sea,Seattle Mariners,1,0,0,0,1,0,0,0,0,0.513,0,82840,737018,105391,35.2,2.08,0,0,0.622,0.507
stl,St Louis Cardinals,1,0,0,0,0,0,1,0,0,0.542,0,9264,301574,48751,36,2.08,0,0,0.463,0.474
tb,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,0.538,0,20030,384661,59893,35.9,2.41,0,0,0.589,0.495
tex,Texas Rangers,1,0,0,0,0,1,0,0,0,0.47,1,16902,394257,65481,34.8,2.85,1,1200,0.349,0.489
tor,Toronto Blue Jays,1,0,0,0,0,0,0,1,0,0.517,0,,2794356,84000,39.6,2.4,0,0,0.502,0.48
wsh,Washington Nationals,1,0,0,0,0,0,0,0,1,0.503,1,7939,689546,93547,34.1,2.08,0,0,0.462,0.474
atlh,Atlanta Hawks,0,1,0,0,0,0,0,0,1,0.486,0,15070,498722,69164,33.2,2.06,0,0,0.391,0.496
bosc,Boston Celtics,0,1,0,0,0,0,0,1,0,0.586,0,17552,675632,81744,32.4,2.3,0,0,0.44,0.481
bkn,Brooklyn Nets,0,1,0,0,0,0,0,1,0,0.46,0,13785,8804194,70663,36.9,2.63,0,0,0.341,0.47
cha,Charlotte Hornets,0,1,0,0,0,0,0,0,1,0.453,0,15992,874607,68367,34.4,2.47,0,0,0.4472,0.467
chi,Chicago Bulls,0,1,0,0,0,0,1,0,0,0.462,0,8601,2746352,65781,34.8,2.41,0,0,0.361,0.485
clec,Cleveland Cavaliers,0,1,0,0,0,0,1,0,0,0.507,1,6453,372632,33678,36.3,2.15,0,0,0.34,0.495
dal,Dallas Mavericks,0,1,0,0,0,1,0,0,0,0.506,0,15245,1304317,58231,32.9,2.49,0,0,0.538,0.497
den,Denver Nuggets,0,1,0,0,1,0,0,0,0,0.542,1,13078,715538,78177,34.6,2.21,0,0,0.54,0.501
detp,Detroit Pistons,0,1,0,0,0,0,1,0,0,0.374,0,5281,639115,34762,34.6,2.53,1,862.9,0.129,0.471
gsw,Golden State Warriors,0,1,0,0,1,0,0,0,0,0.658,4,22066,873959,126187,38.3,2.34,1,1400,0.508,0.507
hour,Houston Rockets,0,1,0,0,0,1,0,0,0,0.532,0,22952,2301572,56019,33.3,2.57,0,0,0.468,0.496
ind,Indiana Pacers,0,1,0,0,0,0,1,0,0,0.514,0,16604,887661,54321,34.2,2.46,0,0,0.691,0.483
lac,Los Angeles Clippers,0,1,0,0,1,0,0,0,0,0.608,0,12771,3898767,69778,35.9,2.75,0,0,0.289,0.498
lal,Los Angeles Lakers,0,1,0,0,1,0,0,0,0,0.419,1,12771,3898767,69778,35.9,2.75,0,0,0.289,0.498
mem,Memphis Grizzlies,0,1,0,0,0,0,0,0,1,0.523,0,29008,631539,43981,34.2,2.48,0,0,0.271,0.473
miah,Miami Heat,0,1,0,0,0,0,0,0,1,0.551,0,22444,442260,47860,40.1,2.38,0,0,0.5566,0.504
mil,Milwaukee Bucks,0,1,0,0,0,0,1,0,0,0.566,1,,577225,45318,31.4,2.45,1,524,0.399,0.485
mint,Minnesota Timberwolves,0,1,0,0,0,0,1,0,0,0.42,0,13550,429985,70099,32.3,2.24,0,0,0.601,0.507
nop,New Orleans Pelicans,0,1,0,0,0,0,0,0,1,0.455,0,8930,383998,45594,37.2,2.37,0,0,0.306,0.469
nyk,New York Knicks,0,1,0,0,0,0,0,1,0,0.395,0,13785,8804194,70663,36.9,2.63,0,0,0.341,0.47
okc,Oklahoma City Thunder,0,1,0,0,0,1,0,0,0,0.541,0,17110,681084,59679,34.4,2.49,0,0,0.643,0.496
orl,Orlando Magic,0,1,0,0,0,0,0,0,1,0.369,0,33339,307683,58968,33.9,2.53,0,0,0.534,0.495
phis,Philadelphia 76ers,0,1,0,0,0,0,0,1,0,0.474,0,9466,1603799,52649,34.6,2.4,0,0,0.338,0.464
phx,Phoenix Suns,0,1,0,0,0,1,0,0,0,0.463,0,16565,1608190,64927,33.9,2.71,0,0,0.23,0.498
por,Portland Trail Blazers,0,1,0,0,1,0,0,0,0,0.523,0,15121,652518,78476,37.5,2.26,0,0,0.738,0.495
sac,Sacramento Kings,0,1,0,0,1,0,0,0,0,0.415,0,10598,524924,71074,34.9,2.63,1,558.2,0.434,0.492
sas,San Antonio Spurs,0,1,0,0,0,1,0,0,0,0.563,1,16088,1434367,55084,33.8,2.64,0,0,0.248,0.483
torr,Toronto Raptors,0,1,0,0,0,0,0,1,0,0.613,1,,2794356,84000,39.6,2.4,0,0,0.502,0.48
uta,Utah Jazz,0,1,0,0,1,0,0,0,0,0.546,0,25826,199711,65880,32.5,2.32,0,0,0.725,0.506
was,Washington Wizards,0,1,0,0,0,0,0,1,0,0.474,0,7939,689546,93547,34.1,2.08,0,0,0.462,0.474
